Food Item,Type,Link,Energy,Protein,Carbohydrate,Fat,Health Meter,Indgredients
Sarva Pindi,veg,https://www.balancenutrition.in/recipes/recipe-details/sarva-pindi,Energy (kcal)- 189,Protein (g) - 5.7,Carbohydrate (g)- 31,Fat (g) - 4.9," Ragi, bajra and jowar flour is high in fiber and low in GI, therefore, it helps in maintaining blood glucose level and also helps in weight loss. Chana dal is a good source of protein. Flaxseeds have good amounts of fiber and omega-3 fatty acids. It is a good cereal-pulse combination. ","['Ragi flour- 1 tbsp', 'Bajra flour- 1/2 tbsp', 'Jowar flour- 1/2 tbsp', 'Channa dal- 2 tsp', 'Flaxseeds- 1 tsp', 'Onion finely chopped- 1/2 small no.', 'Ginger garlic paste- 1/4th tsp', 'Red chilli powder- 1 tsp', 'Green chillies- 1 no., finely chopped', 'Curry leaves- a few', 'Water- as required', 'Salt- as per taste', 'Oil- 1/2 tsp']"
Soya Dosa,veg,https://www.balancenutrition.in/recipes/recipe-details/soya-dosa,Energy (kcal)- 184,Protein (g) - 10.1,Carbohydrate (g)- 23,Fat (g) - 5.8, Soy flour is a gluten-free and good source of protein. Urad dal is also a good source of protein. It is a healthy dosa.,"['Soy flour- 1 tbsp', 'White urad dal- 1tbsp, soaked overnight', 'Rice flour- 1/2 tbsp', 'Salt- as per taste', 'Oil- 1/2 Tsp']"
Sprouts Idli,veg,https://www.balancenutrition.in/recipes/recipe-details/sprouts-idli,Energy (kcal)- 218,Protein (g) - 10,Carbohydrate (g)- 30,Fat (g) - 3," Sprouts are a good source of vegetarian proteins, potassium, vitamin B & fiber as well. Potassium helps our muscles to function efficiently. Dosa batter contains probiotics, which are helpful to clean your gut. It's a very good cereal-pulse combination. It will taste yummy if had with green chutney/ sambar.","['Bean sprouts- 1 tbsp.', 'Moong sprouts- 1 tbsp', 'Idli batter- 30 g', 'Green chilies- 2', 'Ginger- 1/2 inch piece', 'Red chili powder- 1/4 tsp\xa0', 'Turmeric powder- 1/4 tsp\xa0', 'Water- 1/2 cup', 'Salt- as per taste\xa0', 'Oil - 1/2 tsp']"
Sweet Pongal ,veg,https://www.balancenutrition.in/recipes/recipe-details/sweet-pongal,Energy (kcal)- 220,Protein (g) - 7.5,Carbohydrate (g)- 21,Fat (g) - 5," Brown rice is a good source of minerals such as magnesium, phosphorus, selenium, thiamin, niacin and vitamin B6 and manganese. Brown rice is high in fibre is known to aid in weight loss. Moong dal adds on to its protein content. Dates are rich in several vitamins, fibre, minerals, calcium, iron, potassium, phosphorous, manganese, copper and magnesium which are all beneficial for health. Addition of Flax seed will make it healthier as they shall provide us good fats essential for the body. Raisin and dates are natural sweeteners.","['Brown Rice - 15 g', 'Moong dal / Pesara Pappu - 15 g', 'Green cardamom powder - 1/4 tsp\xa0', 'Ghee - 1/2 tsp\xa0', 'Raisins - 1 tsp', 'Almonds - 2 nos.', 'Flaxseed - 1 tsp', 'Fresh Date [khajoor]\xa0 - 1 nos.', 'Cloves (optional)\xa0 - 1 or 2 nos.']"
Tomato Garlic Chutney,vegan,https://www.balancenutrition.in/recipes/recipe-details/tomato-garlic-chutney,Energy (kcal)- 48,Protein (g) - 0,Carbohydrate (g)- 6,Fat (g) - 2.5," Tomatoes are a good source of vitamin A which help in maintaining healthy vision and skin. Garlic has several health benefits like lowering cholesterol, controlling blood pressure, preventing heart disease and cancer. This chutney goes great as an accompaniment with idli, dosa, paratha, thepla, etc.","['Tomatoes-2 nos', 'Red chillies-3 to 4 nos', 'Garlic cloves-15 nos', 'Gingelly oil/ sesame oil-1/2 tsp', 'Salt for taste', 'Water as required']"
Tomato Rice  (Quarantine Sp.),veg,https://www.balancenutrition.in/recipes/recipe-details/tomato-rice-quarantine-sp,Energy (kcal)- 150,Protein (g) - 3.5,Carbohydrate (g)- 27,Fat (g) - 3," Tomato rice is a very tasty recipe and very simple to prepare. Besides that, tomatoes contain large amounts of the antioxidant lycopene, that is effective in lowering the risk of cancer,  Eating tomatoes daily can keep your digestive system healthy as it prevents both, constipation and diarrhea. It also effectively removes toxins from the body. Brown rice contains naturally healthy oils, nutrients such as selenium and manganese, phosphorus and it is high in fiber which aids in weight loss.","['Brown rice\xa0 - 30 g', 'Tomatoes ( will make 1cup chopped tomatoes) - 2', 'Oil - ½ tsp', 'Raw shelled peanuts - 1tsp', 'Mustard seeds - ½ tsp', 'Green chilli chopped - 1', 'Turmeric powder - a pinch', 'Sambar powder-\xa0 1 tsp', 'Salt as per taste', 'Cilantro (hara dhania/coriander leaves) chopped - 2 tbsp', 'Water-\xa0 1cup']"
Tricolour Idli Fun,veg,https://www.balancenutrition.in/recipes/recipe-details/tricolour-idli-fun,Energy (kcal)- 312,Protein (g) - 9.25,Carbohydrate (g)- 60.5,Fat (g) - 3.25," A colourful twist to traditional idli. Adding colours makes the idli appear attractive it also increase the nutritional profile, making it rich not only in protein but also loaded with vitamins and anti-oxidant from tomato, coriander/mint. ","['Idli Batter - as required\xa0', 'For Orange Colour', 'Tomato - 1 big\xa0', 'Red Chilies powder- 1/2 tsp', 'For green colour\xa0', 'Coriander leaves/Mint - 1 cup', 'Cumin Seeds - 1/4\xa0tsp', 'Salt to taste']"
Veg Oats Dosa,veg,https://www.balancenutrition.in/recipes/recipe-details/veg-oats-dosa,Energy (kcal)- 143,Protein (g) - 3.75,Carbohydrate (g)- 23,Fat (g) - 4.3," Oats is very high in soluble fiber which is a protective factor against diabetes, high cholesterol levels, poor heart health, and obesity. Most of the benefits of carrots can be attributed to their beta carotene and fiber content. This root vegetable is also a good source of antioxidant agents.","['Quick-cooking rolled oats -15 g', 'Rice flour- 15 g', 'Roasted semolina (rava) - ½ tsp', 'Beetroot, grated-\xa0 \xa0½ small', 'Grated carrot - ½ small', 'Cabbage [chopped] - 1 tbsp', 'Grated ginger (adrak)-\xa0 1 inch', 'Freshly ground black pepper powder - ¼ tsp', 'Cumin seeds (jeera) powder- ¼ tsp', 'Green chillies, chopped - 1\xa0', 'Salt to taste', 'Oil-\xa0 \xa0½ tsp', 'Chopped coriander (dhania) for garnishing']"
Vegetable Idlis,vegan,https://www.balancenutrition.in/recipes/recipe-details/vegetable-idlis,Energy (kcal)- 178,Protein (g) - 6,Carbohydrate (g)- 31,Fat (g) - 3," A colourful and tasty idli recipe that you will enjoy to the core! The batter for making vegetable idlis is different from the traditional idli batter and is ground using coconut milk, which gives it a soothing flavor and soft texture too. Since the vegetables are added to the batter before fermenting, they become semi-soft and get cooked within the same time as the idlis without requiring any separate attention. ","['Grated carrot - 2 tbsp', 'Grated cabbage - 2tbsp', 'Onion - 1tbsp', 'Split black lentils - 2 tsp', 'Par boiled rice - ¼ cup', 'Cumin seeds - pinch', 'Salt to taste', 'Oil for greasing - ½ tsp']"
Vegetable Kadalai Curry,vegan,https://www.balancenutrition.in/recipes/recipe-details/vegetable-kadalai-curry,Energy (kcal)- 141,Protein (g) - 2.5,Carbohydrate (g)- 30,Fat (g) - 50," This recipe is a mixture of good amounts of nutrients like potassium, fiber, folate (folic acid) and vitamins A, E and C. As a rich source of these vitamins, minerals, and fiber, Kondai Kadalai (Whole Gram) may also offer a variety of health benefits, such as improving digestion, aiding weight  management and reducing the risk of several diseases. Additionally, they are high in protein and make an excellent replacement for meat in vegetarian and vegan diets.","['Kondai Kadalai (whole Bengal gram) - ¼ katori\xa0', 'French Beans [medium sizes] - 5 no.\xa0', 'Carrot [medium sized] - 1 no.', 'Cauliflower floret - 1 cup\xa0', 'Onion [finely chopped] - ½ katori\xa0', 'Tomato [finely chopped] - 1 katori\xa0', 'Oil - 1 tsp\xa0', 'Red chilli powder – 1 tsp\xa0', 'Turmeric powder - ½ tsp\xa0', 'Mustard seeds - ½ tsp\xa0', 'Curry leaves - 4 no.\xa0', 'Coconut [grated] - 2 tbsp\xa0', 'Salt - as per your taste\xa0', 'Water - as required']"
Vegetable Stew,veg,https://www.balancenutrition.in/recipes/recipe-details/vegetable-stew,Energy (kcal)- 131,Protein (g) - 3,Carbohydrate (g)- 12,Fat (g) - 3," This vegetable stew is a complete combination of vitamins, minerals, antioxidants. Low in calories, filling and provides a better nutrition. It doubles up as a soup as well as a main course.","['1 cup mixed vegetables  carrot, yellow zucchini, cauliflower separated into florets, green zucchini cubed, green peas, spinach leaves  2 tbsp chopped,\xa0', 'Vegetable stock  1 Cup', 'Cloves  2-3', 'Cumin seeds  a pinch', 'Black peppercorns -2-3', 'Onion -1/2 small', 'Salt to taste', 'Black peppercorns freshly crushed  a pinch', 'Garlic cloves -2\xa0', 'Celery stalk chopped -2 tbsp.', 'Whole wheat flour (atta)  1 tsp.', 'Buttermilk  25 ml', 'Oil  ½ tsp.']"
Ven Pongal ,veg,https://www.balancenutrition.in/recipes/recipe-details/ven-pongal,Energy (kcal)- 134,Protein (g) - 4.9,Carbohydrate (g)- 20,Fat (g) - 2.3," Brown rice is the ""unrefined"" version of white rice. The side hulls and brans provide ""natural wholeness"" to the grain and are rich in proteins, thiamine, calcium, magnesium, fiber, and potassium. For those trying to lose weight or those suffering from diabetes, brown rice can prove a healthful staple given its low glycemic rating which helps reduce insulin spikes. Mung daal is a good source of protein, which makes this dish a perfect cereal pulse combination. ","['Brown rice - 20 g', 'Yellow moong dal\xa0 - 1 tbsp', 'Oil\xa0 - ½ tsp', 'Cumin seeds  ½ tsp', 'Black peppercorns  ½ tsp', 'Salt as per taste\xa0', 'Ginger finely grated  ½ tsp', '\xa0leaves-\xa0 4']"
